id_aluno,idade,semestre,tempo_resposta,horas_estudo_dia,media_geral,satisfacao_curso,horario_estudo,linguagem_preferida,framework_preferido,formato_conteudo_principal,formato_conteudo_secundario,faltas_percentual,estuda_em_grupo,usa_biblioteca,participa_monitoria,ambiente_desenvolvimento,sistema_operacional,area_interesse,busca_estagio,prefere_backend,interesse_pesquisa,dificuldade_percebida,comentario
STU000001,22,8,2025-01-10 12:53:00,4.6,8.16,4.0,Tarde,R,Flask,Video,Exercícios Práticos,15.2,False,False,True,Eclipse,MacOS,Mobile Dev,False,True,False,1,Feedback detalhado do aluno 1 - Regular. Ótimo desempenho! 
STU000002,20,10,2025-01-16 20:21:00,6.3,9.48,5.0,Madrugada,C++,None,Projetos,Texto,9.9,False,True,True,VSCode,Windows,AI/ML,True,True,True,1,Feedback detalhado do aluno 2 - Muito engajado! Ótimo desempenho! 
STU000003,22,3,2025-01-25 11:49:00,0.5,4.0,2.0,Tarde,Python,React,Exercícios Práticos,Texto,8.9,False,False,False,VSCode,Linux,Gaming,True,False,False,1,Feedback detalhado do aluno 3 - Regular. Desempenho normal. 
STU000004,25,7,2025-01-11 18:40:00,2.8,6.68,4.0,Manhã,Python,Flask,Texto,Video,16.6,False,False,False,PyCharm,Windows,Gaming,False,False,False,1,Feedback detalhado do aluno 4 - Regular. Desempenho normal. 
STU000005,20,1,2025-01-16 09:31:00,1.0,4.24,1.0,Manhã,Java,React,Video,Video,11.4,False,False,False,VSCode,MacOS,Web Development,True,True,False,2,Feedback detalhado do aluno 5 - Regular. Desempenho normal. 
STU000006,20,1,2025-01-26 16:01:00,1.2,4.4,2.0,Manhã,Python,React,Exercícios Práticos,Texto,14.7,False,False,False,Eclipse,Windows,Data Science,True,False,False,2,Feedback detalhado do aluno 6 - Regular. Desempenho normal. 
STU000007,25,10,2025-01-12 15:08:00,1.3,4.85,2.0,Manhã,JavaScript,React,Mentoria,Mentoria,23.1,False,False,False,PyCharm,Windows,Web Development,False,False,False,2,Feedback detalhado do aluno 7 - Regular. Desempenho normal. 
STU000008,23,5,2025-01-12 17:08:00,0.6,4.36,2.0,Manhã,JavaScript,React,Exercícios Práticos,Mentoria,22.8,False,False,False,Eclipse,Windows,Web Development,False,False,False,1,Feedback detalhado do aluno 8 - Regular. Desempenho normal. 
STU000009,19,5,2025-01-10 16:33:00,2.6,5.9,3.0,Manhã,Java,Vue,Texto,Projetos,26.1,False,False,False,VSCode,MacOS,Web Development,True,True,False,1,Feedback detalhado do aluno 9 - Regular. Desempenho normal. 
STU000010,22,8,2025-01-16 11:38:00,0.5,4.64,2.0,Manhã,Java,React,Exercícios Práticos,Video,23.2,False,False,False,VSCode,Linux,Web Development,True,False,False,1,Feedback detalhado do aluno 10 - Regular. Desempenho normal. 
STU000011,19,7,2025-01-28 09:00:00,3.2,5.79,3.0,Tarde,R,Django,Video,Projetos,27.0,False,False,False,PyCharm,Windows,Data Science,True,True,False,1,Feedback detalhado do aluno 11 - Regular. Desempenho normal. 
STU000012,19,8,2025-01-19 19:35:00,2.0,5.43,3.0,Manhã,R,React,Projetos,Video,17.2,False,False,False,VSCode,Windows,Web Development,True,False,False,1,Feedback detalhado do aluno 12 - Regular. Desempenho normal. 
STU000013,21,6,2025-01-24 13:26:00,2.6,5.06,3.0,Manhã,Java,Django,Projetos,Texto,10.5,False,False,False,PyCharm,MacOS,Web Development,True,True,False,1,Feedback detalhado do aluno 13 - Regular. Desempenho normal. 
STU000014,17,6,2025-01-02 16:13:00,0.5,4.0,2.0,Tarde,TypeScript,React,Video,Mentoria,10.0,False,False,False,Eclipse,Windows,Web Development,True,True,False,1,Feedback detalhado do aluno 14 - Regular. Desempenho normal. 
STU000015,17,2,2025-01-02 20:14:00,1.7,4.6,3.0,Manhã,Go,Angular,Projetos,Mentoria,22.0,False,False,False,IntelliJ,Linux,Mobile Dev,True,False,False,2,Feedback detalhado do aluno 15 - Regular. Desempenho normal. 
STU000016,19,6,2025-01-12 12:27:00,3.6,7.15,4.0,Manhã,Java,React,Video,Texto,15.3,False,False,False,Eclipse,MacOS,Web Development,True,True,False,1,Feedback detalhado do aluno 16 - Regular. Desempenho normal. 
STU000017,17,5,2025-01-20 20:38:00,2.7,7.32,4.0,Manhã,Java,Flask,Mentoria,Projetos,15.6,False,False,False,VSCode,MacOS,Web Development,True,True,False,1,Feedback detalhado do aluno 17 - Regular. Desempenho normal. 
STU000018,21,3,2025-01-24 12:09:00,0.5,4.0,1.0,Manhã,JavaScript,Vue,Texto,Projetos,12.3,False,False,False,VSCode,Windows,Mobile Dev,False,False,False,1,Feedback detalhado do aluno 18 - Regular. Desempenho normal. 
STU000019,18,6,2025-01-14 21:36:00,2.0,5.24,3.0,Tarde,TypeScript,React,Video,Exercícios Práticos,12.9,False,False,False,Others,Windows,Data Science,True,True,False,1,Feedback detalhado do aluno 19 - Regular. Desempenho normal. 
STU000020,17,8,2025-01-18 15:13:00,3.7,8.16,4.0,Manhã,SQL,Flask,Texto,Video,16.9,True,False,True,Others,MacOS,AI/ML,True,True,False,1,Feedback detalhado do aluno 20 - Regular. Ótimo desempenho! 
STU000021,25,9,2025-01-02 17:11:00,0.5,4.0,2.0,Manhã,Python,React,Texto,Projetos,9.7,False,False,False,IntelliJ,Linux,Data Science,False,True,False,3,Feedback detalhado do aluno 21 - Regular. Desempenho normal. 
STU000022,20,1,2025-01-22 15:05:00,2.8,6.95,4.0,Manhã,Java,React,Video,Texto,16.3,False,False,False,Vim,Linux,Gaming,True,True,False,1,Feedback detalhado do aluno 22 - Regular. Desempenho normal. 
STU000023,21,3,2025-01-04 20:35:00,0.7,4.1,2.0,Manhã,JavaScript,React,Exercícios Práticos,Projetos,22.6,False,False,False,IntelliJ,Windows,Web Development,True,True,False,2,Feedback detalhado do aluno 23 - Regular. Desempenho normal. 
STU000024,17,3,2025-01-22 21:15:00,4.2,6.64,3.0,Tarde,JavaScript,Django,Exercícios Práticos,Mentoria,4.3,False,True,False,VSCode,Windows,DevOps,False,True,False,1,Feedback detalhado do aluno 24 - Regular. Desempenho normal. 
STU000025,19,8,2025-01-29 11:55:00,1.3,4.06,1.0,Tarde,Python,Spring,Projetos,Video,7.3,False,False,False,VSCode,Windows,DevOps,True,False,False,2,Feedback detalhado do aluno 25 - Regular. Desempenho normal. 
STU000026,21,1,2025-01-25 08:44:00,0.5,4.0,2.0,Manhã,SQL,Vue,Video,Exercícios Práticos,18.4,False,False,False,Vim,Linux,Data Science,True,True,False,2,Feedback detalhado do aluno 26 - Regular. Desempenho normal. 
STU000027,17,5,2025-01-04 11:17:00,0.5,4.0,2.0,Manhã,C++,Django,Exercícios Práticos,Video,21.8,False,False,False,VSCode,Windows,DevOps,False,True,False,2,Feedback detalhado do aluno 27 - Regular. Desempenho normal. 
STU000028,22,3,2025-01-06 10:22:00,2.2,6.5,4.0,Manhã,R,Angular,Video,Mentoria,12.6,False,False,False,IntelliJ,Windows,Data Science,True,True,False,1,Feedback detalhado do aluno 28 - Regular. Desempenho normal. 
STU000029,19,2,2025-01-13 18:15:00,2.8,5.99,3.0,Tarde,SQL,React,Projetos,Mentoria,5.0,False,False,False,IntelliJ,Windows,Web Development,True,True,False,1,Feedback detalhado do aluno 29 - Regular. Desempenho normal. 
STU000030,20,8,2025-01-27 12:03:00,0.5,4.0,2.0,Manhã,C++,Vue,Video,Mentoria,22.2,False,False,False,PyCharm,Windows,Security,True,False,False,2,Feedback detalhado do aluno 30 - Regular. Desempenho normal. 
STU000031,19,3,2025-01-21 15:50:00,3.1,6.96,4.0,Manhã,Java,React,Mentoria,Mentoria,10.9,False,False,False,IntelliJ,Linux,Web Development,True,False,False,1,Feedback detalhado do aluno 31 - Regular. Desempenho normal. 
STU000032,26,7,2025-01-14 14:30:00,0.5,4.0,2.0,Noite,JavaScript,React,Projetos,Texto,13.2,False,False,False,VSCode,Windows,Web Development,False,True,False,2,Feedback detalhado do aluno 32 - Regular. Desempenho normal. 
STU000033,20,1,2025-01-14 13:11:00,2.1,5.69,3.0,Manhã,Python,React,Exercícios Práticos,Exercícios Práticos,16.6,False,False,False,VSCode,Windows,Web Development,True,True,False,1,Feedback detalhado do aluno 33 - Regular. Desempenho normal. 
STU000034,17,6,2025-01-16 08:44:00,0.5,4.0,2.0,Manhã,C++,React,Texto,Mentoria,11.7,False,False,False,PyCharm,Windows,AI/ML,False,True,False,2,Feedback detalhado do aluno 34 - Regular. Desempenho normal. 
STU000035,23,3,2025-01-23 21:06:00,0.5,4.0,2.0,Manhã,Python,Spring,Video,Mentoria,10.6,False,False,False,PyCharm,Windows,Mobile Dev,True,False,False,3,Feedback detalhado do aluno 35 - Regular. Desempenho normal. 
STU000036,17,8,2025-01-14 19:16:00,2.9,5.14,4.0,Manhã,C++,Vue,Video,Projetos,10.7,False,False,False,IntelliJ,Windows,Data Science,True,True,False,1,Feedback detalhado do aluno 36 - Regular. Desempenho normal. 
STU000037,21,6,2025-01-09 13:46:00,0.5,4.12,2.0,Manhã,Python,React,Projetos,Exercícios Práticos,24.3,False,False,False,PyCharm,Windows,Data Science,False,True,False,2,Feedback detalhado do aluno 37 - Regular. Desempenho normal. 
STU000038,17,2,2025-01-12 09:04:00,0.5,4.31,2.0,Manhã,Python,Angular,Mentoria,Video,20.8,False,False,False,VSCode,MacOS,Data Science,True,True,False,2,Feedback detalhado do aluno 38 - Regular. Desempenho normal. 
STU000039,17,6,2025-01-13 18:51:00,4.1,7.15,4.0,Manhã,Python,Angular,Video,Exercícios Práticos,17.9,False,False,False,Sublime,Windows,Data Science,True,False,False,1,Feedback detalhado do aluno 39 - Regular. Desempenho normal. 
STU000040,21,7,2025-01-23 15:58:00,1.4,4.0,1.0,Tarde,Python,Flask,Exercícios Práticos,Exercícios Práticos,4.1,False,False,False,IntelliJ,Windows,Data Science,True,False,False,3,Feedback detalhado do aluno 40 - Regular. Desempenho normal. 
STU000041,23,5,2025-01-14 18:32:00,4.5,7.59,4.0,Manhã,C++,React,Projetos,Exercícios Práticos,17.9,False,False,False,VSCode,Windows,AI/ML,True,False,False,1,Feedback detalhado do aluno 41 - Regular. Desempenho normal. 
STU000042,21,3,2025-01-21 10:16:00,0.5,4.34,2.0,Manhã,C++,Spring,Exercícios Práticos,Mentoria,17.6,False,False,False,IntelliJ,MacOS,AI/ML,True,True,False,1,Feedback detalhado do aluno 42 - Regular. Desempenho normal. 
STU000043,20,4,2025-01-28 10:45:00,3.6,7.71,4.0,Tarde,JavaScript,Flask,Video,Mentoria,8.6,True,False,False,Eclipse,Windows,Web Development,True,True,False,1,Feedback detalhado do aluno 43 - Regular. Desempenho normal. 
STU000044,20,4,2025-01-22 21:22:00,4.9,8.4,5.0,Manhã,Python,Angular,Video,Texto,16.3,False,True,True,Sublime,MacOS,DevOps,True,True,False,1,Feedback detalhado do aluno 44 - Regular. Ótimo desempenho! 
STU000045,17,6,2025-01-08 20:58:00,0.5,4.0,2.0,Tarde,Python,Django,Video,Video,20.3,False,False,False,VSCode,Windows,Data Science,False,False,False,3,Feedback detalhado do aluno 45 - Regular. Desempenho normal. 
STU000046,18,10,2025-01-20 10:04:00,0.8,4.28,2.0,Tarde,Python,React,Projetos,Projetos,17.8,False,False,False,PyCharm,MacOS,Data Science,True,False,False,1,Feedback detalhado do aluno 46 - Regular. Desempenho normal. 
STU000047,19,1,2025-01-09 20:05:00,3.5,6.42,4.0,Manhã,Python,Django,Exercícios Práticos,Exercícios Práticos,11.6,False,False,False,VSCode,Windows,Data Science,True,True,False,1,Feedback detalhado do aluno 47 - Regular. Desempenho normal. 
STU000048,24,4,2025-01-25 13:01:00,0.8,5.09,2.0,Tarde,SQL,Spring,Exercícios Práticos,Video,15.1,False,False,False,VSCode,Linux,DevOps,True,True,False,1,Feedback detalhado do aluno 48 - Regular. Desempenho normal. 
STU000049,22,10,2025-01-13 12:59:00,3.5,6.99,4.0,Manhã,Python,Angular,Mentoria,Video,18.7,False,False,False,IntelliJ,Windows,Data Science,True,True,False,1,Feedback detalhado do aluno 49 - Regular. Desempenho normal. 
STU000050,17,4,2025-01-27 16:07:00,1.5,5.16,3.0,Manhã,Java,React,Exercícios Práticos,Texto,15.3,False,False,False,PyCharm,Windows,Web Development,True,True,False,1,Feedback detalhado do aluno 50 - Regular. Desempenho normal. 
STU000051,21,10,2025-01-23 08:19:00,1.9,5.65,3.0,Manhã,Python,Spring,Projetos,Projetos,21.3,False,False,False,Eclipse,MacOS,Data Science,True,True,False,1,Feedback detalhado do aluno 51 - Regular. Desempenho normal. 
STU000052,19,1,2025-01-12 14:31:00,1.9,5.23,2.0,Manhã,Python,Spring,Exercícios Práticos,Exercícios Práticos,17.0,False,False,False,VSCode,Windows,Data Science,False,True,False,1,Feedback detalhado do aluno 52 - Regular. Desempenho normal. 
STU000053,18,9,2025-01-11 14:46:00,4.6,7.69,4.0,Tarde,JavaScript,Spring,Video,Projetos,18.8,True,True,False,VSCode,Linux,Web Development,True,True,False,1,Feedback detalhado do aluno 53 - Regular. Desempenho normal. 
STU000054,22,4,2025-01-22 15:10:00,2.6,5.75,3.0,Tarde,JavaScript,Angular,Mentoria,Texto,19.1,False,False,False,IntelliJ,Windows,Web Development,False,True,False,1,Feedback detalhado do aluno 54 - Regular. Desempenho normal. 
STU000055,24,7,2025-01-29 13:25:00,2.4,6.11,3.0,Tarde,Python,Vue,Exercícios Práticos,Mentoria,9.7,False,False,False,VSCode,Linux,Data Science,True,False,False,1,Feedback detalhado do aluno 55 - Regular. Desempenho normal. 
STU000056,23,3,2025-01-16 10:19:00,0.8,4.81,2.0,Tarde,Python,Django,Video,Video,15.2,False,False,False,VSCode,MacOS,Data Science,True,True,False,2,Feedback detalhado do aluno 56 - Regular. Desempenho normal. 
STU000057,18,10,2025-01-14 10:00:00,1.0,5.03,2.0,Tarde,Java,Flask,Texto,Exercícios Práticos,13.3,False,False,False,VSCode,Linux,AI/ML,True,True,False,1,Feedback detalhado do aluno 57 - Regular. Desempenho normal. 
STU000058,20,3,2025-01-26 12:46:00,1.7,4.46,3.0,Tarde,Python,React,Video,Mentoria,20.2,False,False,False,IntelliJ,Linux,Data Science,False,True,False,2,Feedback detalhado do aluno 58 - Regular. Desempenho normal. 
